unitid,institution name,year,EF2013D.Student-to-faculty ratio,"DRVIC2013.Tuition and fees, 2013-14",HD2013.Institution size category,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Level of institution,HD2013.Control of institution,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES
102094,University of South Alabama,2013,19,6948,"10,000 - 19,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Balanced arts & sciences/professions, some graduate coexistence","Doctoral, professional dominant","Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (high research activity), public/1of 2"
102234,Spring Hill College,2013,13,30924,"1,000 - 4,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (smaller programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate with arts & sciences (other dominant fields),"Full-time four-year, selective, lower transfer-in",Very high undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (smaller programs), private not-for-profit /2 of 2"
102261,Southeastern Bible College,2013,12,11370,"Under 1,000",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above","Theological seminaries, Bible colleges, and other faith-related institutions","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Exclusively undergraduate four-year,"Not applicable, special focus institution",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Theological seminaries/Bible colleges/other faith-related institutions, highest level - bachelor's degree, undergraduate degrees/certificates offered /1 of 2"
102270,Stillman College,2013,14,15901,"Under 1,000",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,Yes,No,City: Small,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Balanced arts & sciences/professions, no graduate coexistence",Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--General,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /6 of 7"
102298,Talladega College,2013,20,11492,"Under 1,000",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,Yes,No,Town: Distant,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences plus professions, no graduate coexistence",Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /7 of 7"
102313,H Councill Trenholm State Technical College,2013,12,3288,"1,000 - 4,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,At least 2 but less than 4 years,Public,Degree-granting,Yes,No,City: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Small,Associates,Not applicable,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, small size, southeastern states, city locale"
102368,Troy University,2013,17,7276,"20,000 and above",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate with arts & sciences (business dominant),Higher part-time four-year,High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
102377,Tuskegee University,2013,13,18900,"1,000 - 4,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,Yes,No,Town: Distant,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions plus arts & sciences, some graduate coexistence",STEM dominant,"Full-time four-year, inclusive",High undergraduate,"Small four-year, highly residential",Land Grant Institution,Masters Colleges and Universities I,"Baccalaureate Colleges--Diverse Fields, private not-for-profit /1 of 8"
102429,Bevill State Community College,2013,17,4230,"1,000 - 4,999",Alabama,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Distant,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, southeastern states, town locale"
102553,University of Alaska Anchorage,2013,11,5147,"10,000 - 19,999",Alaska,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate comprehensive,Higher part-time four-year,Very high undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /2 of 5"
102614,University of Alaska Fairbanks,2013,8,4984,"5,000 - 9,999",Alaska,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,Suburb: Small,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Balanced arts & sciences/professions, some graduate coexistence",STEM dominant,"Medium full-time four-year, inclusive",High undergraduate,"Medium four-year, primarily residential",Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (high research activity), public/1of 2"
102632,University of Alaska Southeast,2013,9,5693,"1,000 - 4,999",Alaska,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,Town: Remote,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (smaller programs),"Arts & sciences plus professions, some graduate coexistence",Postbaccalaureate professional (education dominant),Higher part-time four-year,High undergraduate,"Small four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (smaller programs), public"
102669,Alaska Pacific University,2013,8,29810,"Under 1,000",Alaska,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (smaller programs),"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate with arts & sciences (other dominant fields),Higher part-time four-year,Majority undergraduate,"Very small four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (smaller programs), private not-for-profit /2 of 2"
102845,Charter College-Anchorage,2013,9,19882,"1,000 - 4,999",Alaska,Far West AK CA HI NV OR WA,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, not primarily baccalaureate or above",Baccalaureate/Associate's Colleges,Associates Dominant,Not applicable,"Medium full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, primarily nonresidential",Not a Land Grant Institution,Associates Colleges,"Baccalaureate/Associates Colleges, private for-profit and enrollment /1 of 2"
103361,Prince William Sound Community College,2013,9,4448,"Under 1,000",Alaska,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Remote,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Medium,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very small two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, small size, western states /2 of 2"
103644,Everest College-Phoenix,2013,20,12960,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, not primarily baccalaureate or above",Associate's--Private For-profit 4-year Primarily Associate's,Associates Dominant,Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Associates Colleges,Private for-profit 4-year Primarily Associates 1 of 3
103787,American Indian College of the Assemblies of God Inc,2013,6,12000,"Under 1,000",Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions focus, no graduate coexistence",Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, highly residential",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Baccalaureate Colleges--Diverse Fields, private not-for-profit /8 of 8"
103945,College America-Flagstaff,2013,15,17211,"Under 1,000",Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, not primarily baccalaureate or above",Associate's--Private For-profit,Associates,Not applicable,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,Not a Land Grant Institution,{Item not available},"Private for-profit, 4-year, Carnegie Classification of Associates /3 of 3"
104151,Arizona State University-Tempe,2013,23,9861,"20,000 and above",Arizona,Southwest AZ NM OK TX,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Balanced arts & sciences/professions, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /1 of 2"
104160,Arizona Western College,2013,22,2420,"5,000 - 9,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states /1 of 2"
104179,University of Arizona,2013,21,10391,"20,000 and above",Arizona,Southwest AZ NM OK TX,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Balanced arts & sciences/professions, high graduate coexistence",Comprehensive doctoral with medical/veterinary,"Full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /1 of 2"
104188,Southwest University of Visual Arts-Tucson,2013,9,34541,"Under 1,000",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above","Schools of art, music, and design","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Exclusively undergraduate four-year,"Not applicable, special focus institution",Not a Land Grant Institution,Associates Colleges,"Schools of art, music, and design, private for-profit /2 of 2"
104346,Central Arizona College,2013,17,2310,"5,000 - 9,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states, rural locale"
104364,Brown Mackie College-Tucson,2013,9,13194,"Under 1,000",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, not primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions focus, no graduate coexistence",Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, primarily nonresidential",Not a Land Grant Institution,Schools of business and management,"Baccalaureate Colleges--Arts & Sciences or Diverse Fields, private for-profit /1 of 2"
104425,Cochise College,2013,15,1752,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Distant,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /3 of 3"
104577,Eastern Arizona College,2013,19,1760,"5,000 - 9,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Remote,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states, town locale"
104586,Embry-Riddle Aeronautical University-Prescott,2013,16,31034,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,Degree-granting,No,No,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions plus arts & sciences, some graduate coexistence",Single postbaccalaureate (other field),"Full-time four-year, selective, lower transfer-in",Very high undergraduate,"Small four-year, primarily residential",Not a Land Grant Institution,{Item not available},"Baccalaureate Colleges--Diverse Fields, private not-for-profit /2 of 8"
104708,Glendale Community College,2013,21,1974,"20,000 and above",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /1 of 3"
104717,Grand Canyon University,2013,21,17000,"20,000 and above",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions focus, some graduate coexistence",Postbaccalaureate professional (education dominant),Higher part-time four-year,Majority undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private for-profit"
104805,Anthem College-Phoenix,2013,30,13775,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, not primarily baccalaureate or above",Associate's--Private For-profit 4-year Primarily Associate's,Associates Dominant,Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, primarily nonresidential",Not a Land Grant Institution,Associates Colleges,Private for-profit 4-year Primarily Associates 1 of 3
105145,GateWay Community College,2013,14,1974,"5,000 - 9,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states /2 of 2"
105154,Mesa Community College,2013,19,1974,"20,000 and above",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /1 of 3"
105163,ITT Technical Institute-Tucson,2013,31,18048,"Under 1,000",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Other technology-related schools,"Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Exclusively undergraduate four-year,"Not applicable, special focus institution",Not a Land Grant Institution,Associates Colleges,Other technology-related schools /2 of 2
105172,ITT Technical Institute-Tempe,2013,30,18048,"Under 1,000",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, not primarily baccalaureate or above",Other technology-related schools,"Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Exclusively undergraduate four-year,"Not applicable, special focus institution",Not a Land Grant Institution,Schools of engineering and technology,Other technology-related schools /1 of 2
105206,Mohave Community College,2013,16,2040,"5,000 - 9,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states, rural locale"
105297,Dine College,2013,14,805,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,Four or more years,Public,Degree-granting,No,Yes,Rural: Remote,"Degree-granting, not primarily baccalaureate or above",Tribal Colleges,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,Land Grant Institution,Tribal colleges,Tribal Colleges
105330,Northern Arizona University,2013,19,9738,"20,000 and above",Arizona,Southwest AZ NM OK TX,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, some graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (high research activity), public/1of 2"
105349,Northland Pioneer College,2013,13,1606,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states, rural locale"
105428,Phoenix College,2013,17,1974,"10,000 - 19,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /3 of 3"
105516,University of Phoenix-Phoenix Campus,2013,21,11320,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions focus, some graduate coexistence",Postbaccalaureate with arts & sciences (business dominant),"Full-time four-year, inclusive",Majority undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Schools of business and management,"Masters Colleges and Universities (larger programs), private for-profit"
105525,Pima Community College,2013,25,1724,"20,000 and above",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /1 of 3"
105589,Prescott College,2013,9,29732,"Under 1,000",Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (smaller programs),"Balanced arts & sciences/professions, some graduate coexistence",Single doctoral (education),"Full-time four-year, selective, higher transfer-in",Majority undergraduate,"Very small four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities II,"Masters Colleges and Universities (smaller programs), private not-for-profit /2 of 2"
105668,Rio Salado College,2013,32,1974,"20,000 and above",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /1 of 3"
105747,Scottsdale Community College,2013,18,1974,"10,000 - 19,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Single Campus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states, rural locale"
105792,South Mountain Community College,2013,17,1974,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states /2 of 2"
105899,Arizona Christian University,2013,13,21832,"Under 1,000",Arizona,Southwest AZ NM OK TX,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions focus, no graduate coexistence",Not applicable,"Full-time four-year, selective, lower transfer-in",Exclusively undergraduate four-year,"Very small four-year, highly residential",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Baccalaureate Colleges--Diverse Fields, private not-for-profit /7 of 8"
106102,Western International University,2013,14,6000,"1,000 - 4,999",Arizona,Southwest AZ NM OK TX,Four or more years,Private for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (medium programs),Associates Dominant,Postbaccalaureate with arts & sciences (business dominant),"Full-time four-year, inclusive",High undergraduate,"Small four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (medium programs), private for-profit"
106148,Yavapai College,2013,19,1872,"5,000 - 9,999",Arizona,Southwest AZ NM OK TX,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states /2 of 2"
106245,University of Arkansas at Little Rock,2013,14,7094,"10,000 - 19,999",Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Doctoral/Research Universities,"Balanced arts & sciences/professions, some graduate coexistence","Doctoral, professional dominant","Medium full-time four-year, inclusive",High undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Doctoral/Research Universities, public"
106306,Arkansas Baptist College,2013,20,8040,"1,000 - 4,999",Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,Yes,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate/Associate's Colleges,Associates Dominant,Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, primarily residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate/Associates Colleges, private not-for-profit"
106342,Lyon College,2013,12,23594,"Under 1,000",Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Remote,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences plus professions, no graduate coexistence",Not applicable,"Full-time four-year, more selective, higher transfer-in",Exclusively undergraduate four-year,"Very small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /7 of 7"
106397,University of Arkansas,2013,19,7818,"20,000 and above",Arkansas,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Professions plus arts & sciences, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, more selective, higher transfer-in",High undergraduate,"Large four-year, primarily residential",Land Grant Institution,Doctoral/Research Universities--Extensive,"Research Universities (very high research activity), public /2 of 2"